Pool,Sex,Treament,SexTreat,IFNy,IL10,IL12p70,IL1B,IL2,IL4,IL5,IL6,KC/GRO,TNFa,IL15,IL17AF,IL27p28/IL30,IL33,IL9,IP10,MCP1,MIP1a,MIP2,WeightRate,il10,tnfa,il6,il1b,iNOS,foxp3,Ferm,Roast
"1,9",Male,LO/NO,3,0.412282612,16.32129572,0,0.216008972,0.198834032,0.376344066,3.186071067,19.30935811,70.24175653,9.034545554,12.46677362,0,2.191420132,1.55346902,0,113.388544,10.2441557,1.663120924,21.85024234,0.867833333,3.478565943,0.374156423,0.283863125,0.64259112,0.422149488,0.658535597,LO,NO
"4,6",Male,LO/NO,3,0.372378801,14.8673645,0,0.310957097,1.09835669,0.119826618,3.373178273,18.47006104,71.36279108,9.1338866,14.13314826,0.18524527,1.91869167,1.515315761,0,110.7448213,10.8976145,1.651802082,21.28083769,0.5375,3.245508691,0.426428713,0.051566096,0.594088264,0.433707863,0.546704567,LO,NO
"3,10",Male,LO/NO,3,0.395380231,15.64842326,31.5084062,0.465676851,0.37953078,0.218789437,3.223461741,19.84203492,74.75139129,8.868479752,15.48433065,0,2.486759257,1.880397534,4.562234676,111.8465037,10.4687534,1.825088869,22.86844934,1.048833333,2.920448975,0.601000525,0.319828855,0.518576753,0.479451667,0.656029835,LO,NO
"2,7",Male,LO/NO,3,0.39230965,13.58148264,1.089647271,0.337578794,0.579652453,0.041548554,3.637191692,22.04991607,78.09561579,9.991196998,8.518804046,0.106332313,0.888672503,1.496235442,0,111.8909468,10.6149135,1.602787548,21.42631847,0.756666667,3.274590823,0.633084535,0.336606456,0.688625017,0.871133356,,LO,NO
"5,12",Male,LO/NO,3,0.322710883,16.08817724,32.36821679,0.286603396,0.230123407,0,3.029092356,19.36640992,71.93735989,9.471408136,16.50831821,0,2.238917707,1.648830571,0,113.1922988,10.40253658,1.735966681,22.95986917,0.676166667,3.198791403,0.420290509,0.248687556,0.687325417,0.539686841,,LO,NO
"1,9",Male,HI/NO,4,0.31966405,19.53352295,30.64859561,0.150921629,0.229308474,0,3.587960186,12.72452112,70.30374622,8.437032678,13.806138,0.145810514,1.849674962,0.603531299,0,104.5928545,8.843204134,3.11567894,22.71468057,1.022166667,1.723222974,0.308616054,0.371667237,0.649173326,0.577228313,0.284762945,HI,NO
"11,2",Male,HI/NO,4,0.293103066,19.96370913,0,0.194527572,0.317897799,0,3.017310847,12.83745406,69.12452489,7.509359697,15.41141413,0.175361862,1.684198392,0.518702631,0,105.7872951,8.698742911,3.163128934,23.26636732,0.599833333,1.737416761,0.29346436,0.336408915,0.49389278,0.399571684,0.066584645,HI,NO
"7,4",Male,HI/NO,4,0.28998443,20.28997835,0,0.17032855,0.21458295,0.069947274,3.28429479,12.92348491,68.73103601,8.080476135,17.28739521,0.283576369,1.518507609,0.474900865,0,106.8571128,8.876994492,3.116927772,22.65546144,0.6125,2.081609893,0.382144345,0.379470089,0.605983952,0.386657402,0.230100071,HI,NO
"3,5",Male,HI/NO,4,0.271011788,20.10933135,21.64080515,0.242456713,0.353657571,0,3.644142865,14.16701517,73.42210062,9.425944138,13.34400876,0.07668547,2.050118321,0.691038714,0,106.8660609,8.657642191,3.159387792,23.36921825,0.966666667,2.133453679,0.258587196,0.369456918,0.66508065,0.324773141,,HI,NO
"12, 6",Male,HI/NO,4,0.316715857,21.06371272,30.64859561,0.288698562,0.047315619,0.070794898,3.77431777,13.85533644,69.82481154,9.101433293,16.71773347,0.214798685,1.672265362,0.633611299,0,100.3775015,9.434683106,3.109423882,21.62269256,1.083,1.523401971,0.200160407,0.332690348,0.62244929,0.40137227,,HI,NO
"4, 8",Male,NO/LO,5,0.383107486,21.33773372,11.55384047,0.246743882,0.136583641,0.041308455,4.408012395,9.430825636,79.03825551,8.747962716,19.28778285,0.209872225,3.88489163,2.691458275,6.855414606,115.331029,11.51323898,1.882838346,28.58537318,0.7445,3.627494042,0.316044475,0.425382254,0.510414256,0.450496063,0.200591633,NO,LO
"1, 10",Male,NO/LO,5,0.323466382,17.0799167,0,0.166060677,0.230136807,0,4.052019282,10.48446851,79.51128887,8.128718498,10.26979164,0.372181623,2.474834558,2.182641624,0,103.3255691,11.84707032,1.821345794,25.9685289,0.7395,3.833334546,0.264065951,0.354754027,0.733793824,0.384667483,0.265877451,NO,LO
"3, 7",Male,NO/LO,5,0.298339243,17.43352067,37.40089864,0.257878015,0.299896472,0.222585963,4.010226068,9.799516548,78.80579523,8.38609786,15.48975759,0.229532813,2.815909189,2.45206033,0,107.2742629,11.59544255,1.728437609,26.50145857,0.921666667,4.012307235,0.269890182,0.269881524,0.482373218,0.477520016,0.151441586,NO,LO
"11, 5",Male,NO/LO,5,0.33185996,17.09750605,40.66470853,0.200708927,0.302499125,0,4.131293265,10.42773473,77.70870648,7.935735904,11.93589127,0.529289535,3.286280354,2.049243146,0,111.1429081,11.69154062,1.728429709,26.94712486,0.4835,3.891657566,0.4462248,0.248066425,0.380135426,0.4939954,,NO,LO
"9, 6",Male,NO/LO,5,0.319655389,17.87290935,0,0.181107752,0.266141238,0,3.952003185,9.202744193,76.57054759,7.914284043,13.76345415,0.18524527,3.051113095,2.223472277,0.158942267,102.7929044,11.04939285,1.761058952,25.41682335,0.8585,3.784710531,0.264556138,0.219192881,0.511654911,0.451827864,,NO,LO
"6, 13",Male,NO/HI,6,0.207609909,22.53173872,0,0.373313946,0.094740148,0.059139818,7.942968425,36.98596493,56.61362708,7.748038914,10.25474078,0.096454265,36.19092037,0.56522592,21.9458567,129.9224382,8.008650234,1.240447112,13.59293305,0.435,2.920448975,0.426428713,0.299511274,0.690118293,0.306414796,0.08123996,NO,HI
"2, 8",Male,NO/HI,6,0.219653178,23.61241961,4.269975986,0.342036503,0,0,8.323915281,37.261697,55.57781827,7.635410144,11.40729114,0.02715411,37.7718017,0.770250645,0,131.4559394,7.834850849,1.297120226,13.88103796,0.6525,2.978687656,0.601000525,0.447764668,0.071166414,0.399979406,0.232424383,NO,HI
"5, 11",Male,NO/HI,6,0.229432115,21.56120503,28.90502512,0.467791956,0,0.046805578,8.257495011,37.59284301,54.78669764,7.772173158,16.49019832,0.54891355,40.41679231,0.863195425,0,134.1766637,8.363864832,1.31093616,11.12331122,0.49,3.205753519,0.633084535,0.244189504,0.580951922,0.343550462,0.097620864,NO,HI
"1, 3",Male,NO/HI,6,0.238486386,26.90109747,0,0.393519149,0.084239973,0,8.820921683,42.59304449,58.95123121,8.17433101,21.71314268,0.130946016,41.7102783,1.024326511,1.909653258,129.9364259,8.809842049,1.43054447,14.90841079,0.798833333,1.769989873,0.420290509,0.328132766,0.670910603,0.447707622,,NO,HI
"4, 9",Male,NO/HI,6,0.191116214,24.39240486,0,0.337582352,0.292178425,0.03426183,8.252904294,39.98639525,56.31994716,7.723884395,16.42627532,0.200004276,35.19363273,0.745706108,0,128.2967917,7.721406031,1.352411166,15.18699432,0.778166667,1.67309243,0.308616054,0.343195235,0.472447982,0.315128457,,NO,HI
"10, 11",Male,LO/LO,7,0.321190636,14.60358687,0,0.19068114,0.078854619,0,2.225046704,26.03305653,50.84067364,6.959478753,20.68493579,0.056895928,2.779955818,0.936815438,11.41351516,86.94299534,7.109858758,1.372660013,13.82903957,0.353333333,2.109666725,0.058255354,0.432545502,0.732766495,0.394671757,0.327560508,LO,LO
"6, 12",Male,LO/LO,7,0.308993731,13.98056764,39.0411502,0.15297841,0.230136807,0.013556096,2.064461211,25.94968372,52.50057753,7.335028562,17.20963633,0.096454265,2.310001447,0.792151519,1.867727922,90.252014,7.442379894,1.265645778,14.04535951,0.8125,4.012174939,0.260590098,0.193130073,0.730981299,0.391000423,0.442372416,LO,LO
"1, 3",Male,LO/LO,7,0.322733792,15.34611276,47.01024628,0.164057655,0.178247987,0,2.019540045,26.08713711,52.70361708,7.166048937,18.28939098,0,1.825996681,0.844042564,15.43914042,91.05475499,7.28336603,1.308460982,13.76871624,1.045,2.162345635,0.154369844,0.278143791,0.633418697,0.423470514,0.489993098,LO,LO
